requirement,requirement_id,satisfied_by,verification_case,use_case,notes
cam_receptionRate,"RES-CAM-001",Structure::V2X_CACC_System::top_system,VC_CAM_Rate,UC0_SystemUseCases,"Min CAM reception rate"
cam_MinimumUpdateRate,"RES-CAM-002",Structure::V2X_CACC_System::top_system,VC_CAM_Rate,UC0_SystemUseCases,"Min CAM update rate"
cam_transmission,"RES-CAM-003",Structure::V2X_CACC_System::top_system,VC_CAM_ForwardingLatency,UC0_SystemUseCases,"CAM transmission requirement"
speedLimitEnforcement,"RES-SPEED-001",Structure::V2X_CACC_System::top_system,VC_SpeedLimitEnforcement,UC7_SpeedLimitsAdaptation,"Speed limit enforcement"
legalSpeedLimitCompliance,"RES-SAFE-010",Structure::V2X_CACC_System::top_system,VC_SpeedLimitEnforcement,UC7_SpeedLimitsAdaptation,"Compliance with legal speed limits"
cutInEmergencyBraking,"RES-CUTIN-002",Structure::V2X_CACC_System::top_system,VC_CutIn_Safety,UC2_AbruptCutIn,"Emergency braking on cut-in"
noCollisionDuringAssistedCutIn,"RES-SAFE-002",FPGA_Hardware::PYNQZ1::system,VC_CutIn_Safety,UC2_AbruptCutIn,"Safety during assisted cut-in"
glosa_UnreachableGreenWaveHandling,"RES-GLOSA-003",Structure::V2X_CACC_System::top_system,VC_GLOSA_Timeout,UC6_CrossroadAdaptation,"Fallback when green wave unreachable"
glosa_ComputationTime,"RES-PERF-004",Structure::V2X_CACC_System::top_system,VC_GLOSA_Timeout,UC6_CrossroadAdaptation,"GLOSA computation time bound"
messageFragmentationHandling,"RES-OPS-003",Structure::V2X_CACC_System::top_system,VC_Fragmentation_Reconstruction,UC14_DegradedSignalManagement,"Fragmentation handling"
v2vSignalLossFallback,"RES-OPS-001",Structure::V2X_CACC_System::top_system,VC_Heartbeat_Failure,UC14_DegradedSignalManagement,"Fallback on V2V loss"
heartbeatMonitoring,"RES-OPS-006",Structure::V2X_CACC_System::top_system,VC_Heartbeat_Failure,UC14_DegradedSignalManagement,"Heartbeat monitoring"
noStringInstabilityAmplification,"RES-SAFE-006",Structure::V2X_CACC_System::top_system,VC_StringStability,UC4_Shockwave_Mitigation,"String stability constraint"
camForwardingReq,"RES-OGW-002",Structure::V2X_CACC_System::top_system::outputGateway,VC_CAM_ForwardingLatency,UC0_SystemUseCases,"Output gateway CAM forwarding"
controlForwardingReq,"RES-OGW-001",Structure::V2X_CACC_System::top_system::outputGateway,,UC0_SystemUseCases,"Output gateway control forwarding"
monitoringForwardingReq,"RES-OGW-003",Structure::V2X_CACC_System::top_system::outputGateway,,UC0_SystemUseCases,"Output gateway monitoring forwarding"
platooningForwardingReq,"RES-OGW-004",Structure::V2X_CACC_System::top_system::outputGateway,,UC0_SystemUseCases,"Platooning info forwarding"
